Project Name,Post URL,,,
Bitcoin Githurai (Kenya) 🇰🇪,https://x.com/bitcoingithurai/status/1950536559746293851,,,
Bitcoin Githurai (Kenya) 🇰🇪,https://x.com/bitcoingithurai/status/1951585691986456659,,,
Bitcoin Githurai (Kenya) 🇰🇪,https://x.com/bitcoingithurai/status/1952623549908205936,,,
Bitcoin Githurai (Kenya) 🇰🇪,https://x.com/bitcoingithurai/status/1952724147349409820,,,
Bitcoin Githurai (Kenya) 🇰🇪,https://x.com/bitcoingithurai/status/1953692595948863781,,,
Bitcoin Kampala (Uganda) 🇺🇬,https://x.com/BitcoinKampala/status/1924483355531178294,,,
Bitcoin Kampala (Uganda) 🇺🇬,https://x.com/bitcoinkampala/status/1925195929524568115,,,
Bitcoin Kampala (Uganda) 🇺🇬,https://x.com/bitcoinkampala/status/1928176575033528345,,,
Bitcoin Kampala (Uganda) 🇺🇬,https://x.com/bitcoinkampala/status/1950225144578003330,,,
Bitcoin Kampala (Uganda) 🇺🇬,https://x.com/bitcoinkampala/status/1950870143132909754,,,
Bitcoin Kampala (Uganda) 🇺🇬,https://x.com/bitcoinkampala/status/1951729769210384516,,,
Bitcoin Kampala (Uganda) 🇺🇬,https://primal.net/e/nevent1qqs0268y3vp7uumyqmqemun3d6jzrcql707j2c6j2k65tany4fgdqhs960kyy,,,
Bitcoin Kampala (Uganda) 🇺🇬,https://x.com/BitcoinKampala/status/1952818901223653465,,,
Bitcoin Karoo (South Africa) 🇿🇦,https://x.com/bitcoinkaroo/status/1927319554079752278,,,
Bitcoin Karoo (South Africa) 🇿🇦,https://x.com/bitcoinkaroo/status/1947660647472501133,,,
Bitcoin Karoo (South Africa) 🇿🇦,https://x.com/BitcoinKaroo/status/1947660647472501133,,,
Bitcoin Karoo (South Africa) 🇿🇦,https://x.com/bitcoinkaroo/status/1923531868135186527,,,
Bitcoin Karoo (South Africa) 🇿🇦,https://x.com/bitcoinkaroo/status/1954882064638988731,,,
Bitcoin Karoo (South Africa) 🇿🇦,https://primal.net/e/nevent1qqsyszlacm6lsntjjt03w46ga52tj9sz5exzkr5fwhhc5d6vxdyzcxsmupvhf,,,
Bitcoin Karoo (South Africa) 🇿🇦,https://primal.net/e/nevent1qqsd6d30j0amk94s5xzpqwhc4jkpjh4t5v3nntc9usqz0klfwwcc06ckf2hm6,,,
Bitcoin Karoo (South Africa) 🇿🇦,https://primal.net/e/nevent1qqs0n93ewt9yfqcprxtukf5ts4n2x4htt75rqaaujt3lwsw4r5v56lcn8mmkg,,,
Bitcoin Karoo (South Africa) 🇿🇦,https://primal.net/e/nevent1qqsfsw9aprlm6dqd8zrwnvp2wyakj5thppzzf4sdltzfxckrjgyv7wcykc5ax,,,
Bitcoin Karoo (South Africa) 🇿🇦,https://primal.net/e/nevent1qqs80tveru6rgmju58dvyksla3x0f2nyhdmpmhnqkhak9qa3qnwks9q29h7su,,,
Bitcoin Karoo (South Africa) 🇿🇦,https://primal.net/e/nevent1qqst5kuszsjt4prgtvguuhddl6kappkzq9hhhnrswm7kl7e88mp86pst4nxnd,,,
Bitcoin Karoo (South Africa) 🇿🇦,https://primal.net/e/nevent1qqs8avc4x2rpqe29kmulae79cmkgjaq7g9l5zx3c7hgkz3pzwmlf3hcrcdsqw,,,
Bitcoin Plett (South Africa) 🇿🇦,https://x.com/bearcreative27/status/1924173920933916882,,,
Bitcoin Plett (South Africa) 🇿🇦,https://x.com/BitcoinPlett/status/1924939241974329374,,,
Bitcoin Plett (South Africa) 🇿🇦,https://x.com/BitcoinPlett/status/1955597831219118129,,,
Bitcoin Plett (South Africa) 🇿🇦,https://x.com/BitcoinPlett/status/1955664261482746085,,,
Bitcoin Plett (South Africa) 🇿🇦,https://x.com/BitcoinPlett/status/1955663870615580805,,,
Bitcoin Plett (South Africa) 🇿🇦,https://x.com/BitcoinPlett/status/1955883566811738504,,,
Bitcoin Sisonke (South Africa) 🇿🇦,https://x.com/sisonkeBTC/status/1923001377980080388,,,
Bitcoin Sisonke (South Africa) 🇿🇦,https://x.com/sisonkeBTC/status/1929511568066199749,,,
Bitcoin Sisonke (South Africa) 🇿🇦,https://x.com/sisonkeBTC/status/1937035669555265759,,,
Bitcoin Sisonke (South Africa) 🇿🇦,https://x.com/sisonkeBTC/status/1938527861083967678,,,
Bitcoin Sisonke (South Africa) 🇿🇦,https://x.com/sisonkeBTC/status/1940676225565184372,,,
Bitcoin Sisonke (South Africa) 🇿🇦,https://x.com/sisonkeBTC/status/1942470274072428814,,,
Bitcoin Sisonke (South Africa) 🇿🇦,https://x.com/sisonkeBTC/status/1945006477330051373,,,
Bitcoin Sisonke (South Africa) 🇿🇦,https://x.com/sisonkeBTC/status/1953836332922323184,,,
Bitcoin Sisonke (South Africa) 🇿🇦,https://x.com/sisonkeBTC/status/1954474251508985974,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1923852708852719854,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1924866299231924691,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1924942942151590053,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1927312608501064049,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1937812581114151221,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1948334167307034715,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1952086795304464710,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1952094626212438314,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1952103050631672078,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1952108988490723820,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://www.instagram.com/reel/DNI5Zahs0k_/,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1954611532559417518,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1954649821027160180,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1954826641496056293,,,
Bitcoin Ubuntu (South Africa) 🇿🇦,https://x.com/BitcoinUbuntu/status/1955712540580643302,,,
Bitcoin Victoria Falls (Zambia) 🇿🇲,https://x.com/bitcoinvicfalls/status/1922705668877828546,,,
Bitcoin Victoria Falls (Zambia) 🇿🇲,https://x.com/bitcoinvicfalls/status/1924217827768033435,,,
Bitcoin Victoria Falls (Zambia) 🇿🇲,https://x.com/bitcoinvicfalls/status/1924795096521650562,,,
Bitcoin Victoria Falls (Zambia) 🇿🇲,https://x.com/bitcoinvicfalls/status/1925225131707716091,,,
Bitcoin Victoria Falls (Zambia) 🇿🇲,https://x.com/bitcoinvicfalls/status/1927038419835715807,,,
Bitcoin Victoria Falls (Zambia) 🇿🇲,https://x.com/bitcoinvicfalls/status/1927062408515764305,,,
